Lexical Error at line 2, column 13: Invalid character '^'
Lexical Error at line 3, column 16: Invalid character '@'
Token: TYPE_INTEGER     | Lexeme: int          | Line: 1 | Column: 1
Token: IDENTIFIER       | Lexeme: main         | Line: 1 | Column: 5
Token: OPEN_PAREN       | Lexeme: (            | Line: 1 | Column: 9
Token: CLOSE_PAREN      | Lexeme: )            | Line: 1 | Column: 10
Token: OPEN_BRACE       | Lexeme: {            | Line: 1 | Column: 12
Token: TYPE_INTEGER     | Lexeme: int          | Line: 2 | Column: 5
Token: IDENTIFIER       | Lexeme: a            | Line: 2 | Column: 9
Token: ASSIGN           | Lexeme: =            | Line: 2 | Column: 11
Token: INVALID          | Lexeme: ^            | Line: 2 | Column: 13
Token: SEMICOLON        | Lexeme: ;            | Line: 2 | Column: 14
Token: TYPE_INTEGER     | Lexeme: int          | Line: 3 | Column: 5
Token: INTEGER_LIT      | Lexeme: 2            | Line: 3 | Column: 9
Token: IDENTIFIER       | Lexeme: b            | Line: 3 | Column: 10
Token: ASSIGN           | Lexeme: =            | Line: 3 | Column: 12
Token: INTEGER_LIT      | Lexeme: 5            | Line: 3 | Column: 14
Token: INVALID          | Lexeme: @            | Line: 3 | Column: 16
Token: INTEGER_LIT      | Lexeme: 6            | Line: 3 | Column: 18
Token: SEMICOLON        | Lexeme: ;            | Line: 3 | Column: 19
Token: CLOSE_BRACE      | Lexeme: }            | Line: 4 | Column: 1
Token: END_OF_FILE      | Lexeme: EOF          | Line: 4 | Column: 2
